scientific_name,year_discovered,family_scientific_name
"Abeillia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Leucippus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Saucerottia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Chrysuronia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Prosobonia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Scolopacidae')
"Macheiramphus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Scotopelia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Strigidae')
"Berenicornis Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Bucerotidae')
"Actenoides Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Alcedinidae')
"Meropogon Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Meropidae')
"Eubucco Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Capitonidae')
"Gymnobucco Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Lybiidae')
"Geoffroyus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittaculidae')
"Chalcopsitta Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittaculidae')
"Smithornis Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Calyptomenidae')
"Masius Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Pipridae')
"Xenopirostris Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Vangidae')
"Vireolanius Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Vireonidae')
"Pachysylvia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Vireonidae')
"Cyanopica Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Corvidae')
"Hypocolius Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Hypocoliidae')
"Melaniparus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Paridae')
"Ramphocoris Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Alaudidae')
"Psaltriparus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Aegithalidae')
"Melanotis Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Mimidae')
"Basilornis Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Sturnidae')
"Streptocitta Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Sturnidae')
"Catharus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Turdidae')
"Pyrgilauda Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Passeridae')
"Hesperiphona Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Fringillidae')
"Oriturus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Passerellidae')
"Xanthocephalus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Icteridae')
"Hypopyrrhus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Icteridae')
"Granatellus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Cardinalidae')
"Cyanoloxia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Cardinalidae')
"Cyanicterus Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Phonipara Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Melanodera Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Catamenia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Dubusia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Chlorophonia Bonaparte, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Fringillidae')
"Chlorochrysa Bonaparte, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Ixothraupis Bonaparte, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Chalcothraupis Bonaparte, 1851",1851,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Eupsittula Bonaparte, 1853",1853,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittacidae')
