scientific_name,common_name,year_discovered,genus_scientific_name
"Cinnyris oustaleti (Barboza du Bocage, 1878)",Oustalets Sunbird,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cinnyris Cuvier, 1816')"
"Ploceus angolensis (Barboza du Bocage, 1878)",Bar-winged Weaver,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ploceus Cuvier, 1816')"
"Euplectes hartlaubi (Barboza du Bocage, 1878)",Marsh Widowbird,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Euplectes Swainson, 1829')"
"Ploceus temporalis (Barboza du Bocage, 1880)",Bocages Weaver,1880,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ploceus Cuvier, 1816')"
"Scleroptila finschi (Barboza du Bocage, 1881)",Finschs Francolin,1881,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Scleroptila Blyth, 1852')"
"Anabathmis newtonii (Barboza du Bocage, 1887)",Newtons Sunbird,1887,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anabathmis Reichenow, 1905')"
"Crithagra concolor (Barboza du Bocage, 1888)",Sao Tome Grosbeak,1888,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Crithagra Swainson, 1827')"
"Dreptes thomensis (Barboza du Bocage, 1889)",Giant Sunbird,1889,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dreptes Reichenow, 1914')"
"Sporophila palustris (Barrows, 1883)",Marsh Seedeater,1883,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sporophila Cabanis, 1844')"
"Apus balstoni (Bartlett, E, 1880)",Malagasy Black Swift,1880,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Apus Scopoli, 1777')"
"Sarothrura watersi (Bartlett, E, 1880)",Slender-billed Flufftail,1880,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sarothrura Heine, 1890')"
"Cyanoloxia rothschildii (Bartlett, E, 1890)",Amazonian Grosbeak,1890,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cyanoloxia Bonaparte, 1850')"
"Dendrocoptes dorae (Bates, GL & Kinnear, 1935)",Arabian Woodpecker,1935,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dendrocoptes Cabanis & Heine, 1863')"
"Melichneutes robustus (Bates, GL, 1909)",Lyre-tailed Honeyguide,1909,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melichneutes Reichenow, 1910')"
"Platysteira tonsa (Bates, GL, 1911)",White-spotted Wattle-eye,1911,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Platysteira Jardine & Selby, 1830')"
"Tauraco bannermani (Bates, GL, 1923)",Bannermans Turaco,1923,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Tauraco Kluk, 1779')"
"Schistolais leontica (Bates, GL, 1930)",Sierra Leone Prinia,1930,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Schistolais Wolters, 1980')"
"Curruca nisoria (Bechstein, 1792)",Barred Warbler,1792,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Curruca Bechstein, 1802')"
"Ficedula parva (Bechstein, 1792)",Red-breasted Flycatcher,1792,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ficedula Brisson, 1760')"
"Coragyps atratus (Bechstein, 1793)",Black Vulture,1793,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Coragyps Le Maout, 1853')"
"Phylloscopus sibilatrix (Bechstein, 1793)",Wood Warbler,1793,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylloscopus Boie, F, 1826')"
"Dicrurus adsimilis (Bechstein, 1794)",Fork-tailed Drongo,1794,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dicrurus Vieillot, 1816')"
"Acrocephalus palustris (Bechstein, 1798)",Marsh Warbler,1798,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Acrocephalus Naumann, JA & Naumann, JF, 1811')"
"Sialia currucoides (Bechstein, 1798)",Mountain Bluebird,1798,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sialia Swainson, 1827')"
"Spizella passerina (Bechstein, 1798)",Chipping Sparrow,1798,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Spizella Bonaparte, 1832')"
"Dendrocopos leucotos (Bechstein, 1802)",White-backed Woodpecker,1802,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dendrocopos Koch, 1816')"
"Branta leucopsis (Bechstein, 1803)",Barnacle Goose,1803,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Branta Scopoli, 1769')"
"Tringa stagnatilis (Bechstein, 1803)",Marsh Sandpiper,1803,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Tringa Linnaeus, 1758')"
"Ara tricolor (Bechstein, 1811)",Cuban Macaw,1811,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ara Lacpde, 1799')"
"Ara ambiguus (Bechstein, 1811)",Great Green Macaw,1811,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ara Lacpde, 1799')"
"Geoffroyus geoffroyi (Bechstein, 1811)",Red-cheeked Parrot,1811,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geoffroyus Bonaparte, 1850')"
"Trichoglossus capistratus (Bechstein, 1811)",Marigold Lorikeet,1811,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Trichoglossus Stephens, 1826')"
